id;processo;0
1;5084947-94.2017.8.13.0024;"DIREITO CIVIL|Empresas|Sociedade|Dissolução|"
2;0801522-36.2017.8.10.0048;"DIREITO PROCESSUAL CIVIL E DO TRABALHO|Objetos de cartas precatórias/de ordem|Citação|"
3;0801522-36.2017.8.10.0048;"DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826)  -  Objetos de cartas precatórias/de ordem (11781)  -  Citação (11783"
4;7001048-55.2016.8.22.0023;"Atos executórios"
5;7001048-55.2016.8.22.0023;"DIREITO PROCESSUAL CIVIL E DO TRABALHO|Objetos de cartas precatórias/de ordem|Atos executórios|"
6;7000780-22.2016.8.22.0016;"DIREITO CIVIL|Obrigações|Espécies de Títulos de Crédito|Cheque|"
7;0817011-94.2016.8.10.0001;"DIREITO PROCESSUAL CIVIL E DO TRABALHO|Objetos de cartas precatórias/de ordem|Citação|"
8;0817011-94.2016.8.10.0001;"DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826)  -  Objetos de cartas precatórias/de ordem (11781)  -  Citação (11783"
9;0805570-19.2016.8.10.0001;"DIREITO PROCESSUAL CIVIL E DO TRABALHO|Objetos de cartas precatórias/de ordem|Citação|"
10;0805570-19.2016.8.10.0001;"DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826)  -  Objetos de cartas precatórias/de ordem (11781)  -  Citação (11783"
11;0802746-87.2016.8.10.0001;"DIREITO PROCESSUAL CIVIL E DO TRABALHO|Atos Processuais|Intimação / Notificação|"
12;0802746-87.2016.8.10.0001;"DIREITO PROCESSUAL CIVIL E DO TRABALHO - Atos Processuais - Intimação / Notificação"
13;1000224-69.2017.4.01.3100;"DIREITO CIVIL|Coisas|Posse|Esbulho / Turbação / Ameaça|"
14;1000224-69.2017.4.01.3100;"DIREITO CIVIL (899)  -  Coisas (10432)  -  Posse (10444)  -  Esbulho / Turbação / Ameaça (10445"
15;5001506-11.2017.4.03.6110;"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
16;5001506-11.2017.4.03.6110;"Área de Preservação Permanente"
