;REGIÃO;UF;MUNICÍPIO ;COMUNIDADE;Nº PROCESSO NA FCP;DATA DA ABERTURA;ETAPA ATUAL PROCESSO FCP;PENDÊNCIA ;;;
1;NORDESTE;AL;SANTANA DO IPANEMA;SANTA LUZIA DO SÍTIO BAIXIO DO TAMANDUÁ;01420.101548/2020-40;05/11/2020;ANALISADO;Ata;;;
1;NORDESTE;AL;INHAPI;SÍTIO BALDE;01420.100634/2021-16;11/05/2021;ANALISADO;Ata;;;
1;NORDESTE;BA;ILHA DE MARÉ;BOTELHO;01420.101562/2020-43;06/11/2020;ANALISADO;Requeimrnto, Ata e Histórico;;;
1;NORDESTE;BA;RIO DO ANTÔNIO;PAI JOSÉ;01420.101545/2020-14;04/11/2020;ANALISADO;Ata;;;
1;NORDESTE;BA;IBIPEBA;MORRO DO GOMES;01420.101094/2021-98;28/07/2021;ANALISADO;falta analisar;;;
1;NORDESTE;BA;SENHOR DO BONFIM;TANQUINHO;01420.100065/2022-90;11/01/2022;ANALISADO;Ata ;;;
1;NORDESTE;CE;QUITERIANÓPOLIS;CIPOEIRO;01420.100708/2022-03;31/03/2022;ANALISADO;HISTÓRICO;;;
1;SUDESTE ;ES;CONCEIÇÃO DA BARRA;CÓRREGO DO FELIPE;01420.101527/2021-13;04/10/2021;ANALISADO;HISTÓRICO;;;
1;SUDESTE;ES;CONCEIÇÃO DA BARRA;ESPERANÇA SAPÉ DO NORTE;01420.101778/2021-90;08/11/2021;ANALISADO;HISTÓRICO;;;
1;NORDESTE;MA;NINA RODRIGUES;POVOADO ILHA;01420.100886/2019-21;13/05/2019;ANALISADO;Ata e Histórico;;;
1;NORDESTE;MA;PENALVA;SANSAPÉ (PONTA DE AREIA, CAVACO, SANSAPÉ, TIBIRI, SÃO JOÃO, FRECHAL, SOSSEGO, CONCEIÇÃO, OITEIRO DA CRUZ, ALTO BONITO, MARIZA, BELO MONTE, AREAL, JATOBÁ, CUTIAS, TABOCA, CAPOIRA DE AMANSO, MARACASSUMÉ OU TESO, LUDOVICO, BELAS ÁGUAS, RESPLENDOR E  CURRUTELA);01420.101056/2019-11;22/05/2019;ANALISADO;Ata, Histórico e Requerimento;;;
1;NORDESTE;MA;PINHEIRO;PERICUMÃ DOS ARAÚJOS;01420.100084/2020-54;20/01/2020;ANALISADO;Ata e Histórico;;;
1;NORDESTE;MA;SÃO JOÃO DOS PATOS;POVOADO FERREIRA;01420.100129/2020-91;27/01/2020;ANALISADO;Ata;;;
1;NORDESTE;MA;ROSARIO;MOJÓ;01420.101728/2020-21;16/12/2020;ANALISADO;histórico;;;
1;NORDESTE;MA;CODÓ;CENTRO DO EXPEDITO;01420.100950/2021-98;05/07/2021;ANALISADO;histórico;;;
1;NORDESTE;MA;CURURUPU;CAPIM DOCE;01420.101384/2019-17;18/07/2019;ANALISADO;HISTÓRICO;;;
1;NORDESTE;MA;ROSÁRIO;MOJÓ;01420.101728/2020-21;16/12/2020;ANALISADO;Histórico e HISTÓRICO;;;
1;NORDESTE;MA;PRESIDENTE JUSCELINO;POVOADO TABOCAS;01420.101197/2021-58;12/08/2021;ANALISADO;Ata  ;;;
1;NORDESTE;MA;CURURUPU;RUMO SANTA MARIA;01420.101469/2021-10;24/09/2021;ANALISADO;Ata e Historico;;;
1;NORDESTE;MA;PENALVA;MONTE CRISTO (PONTA GROSSA, CAJU, SÃO JOSÉ DE SÃO BRAZ, MONTE CRISTO, PONTA VERDE, DESERTO, CANARANA, CONDURU I E CONDURU II, ORIENTE, CANTA GALO, SÃO JOÃO II, TABOCA II, ANIL, CANARA II, CAMPO DE POSO I, CAMPO DE POSO II, ESTRADA DO FIO, BELO MONTE, CANADÁ, CAMINHO DO MEIO E LAGO VERDE);01420.100966/2019-86;22/05/2019;ANALISADO;Ata e Historico;;;
1;NORDESTE;MA;PENALVA;FORMOSO (IGARAPÉ GRANDE BREJINHO, CENTRO DOS MACHADOS, CAJAZEIRA, MOMORONA, TORORAMA, CANSADO, CENTRO DOS CABOCLO, BAIXO DA ONÇA, PONTA DA PALMEIRA, QUEIMADA, CAPOEIRO, BACABA, FORMOSO OU CATITU, ANANAZAL, ÁGUA PRETA, SÃO RAIMUNDO, PAXIBA, ESCORREGA, SÃO BENEDITO, LAGOA  MIRIM, JURRSRAZINHO, PRAÇA DA IGREJA, PONTA DA AREIA, RUA DO NAMORO, ILHA DO TUCUM,  LONTRA, ILHA DO TARUMÃ, ILHA DO LUCÍDIO, ILHA DAS PACAS, ILHA DA LONTRA, ILHA DAS CAPIVARAS, CASTELO, CASTINHO II, ILHINHA DO JABOTI, ILHA DE BENEDITO CORRÊA, OLHO D´ÁGUA DO FORMOSO, COLÔNIA, BOA VONTADE, CEDRO, CASTELINHO, BURITIATA, PONTA DA CAPOEIRA, SERRARIA);01420.100977/2019-66;22/05/2019;ANALISADO;Ata histórico e requerimento, ;;;
