;REGIÃO;UF;MUNICÍPIO ;COMUNIDADE;Nº PROCESSO NA FCP;ETAPA ATUAL PROCESSO FCP;Nº DA PORTARIA;DATA DA PORTARIA NO DOU;Nº PROCESSO INCRA;ETAPA DO PROCESSO DE TITULAÇÃO
1;SUL;RS;MAQUINÉ | OSÓRIO;MORRO ALTO1;01420.000014/2003-04;CERTIFICADA;19/2004;04/06/2004;54220.001201/2004-09;RTID
1;NORDESTE;PI;QUEIMADA NOVA;TAPUIO;01420.000052/2004-30;CERTIFICADA;19/2004;04/06/2004;54380.001320/2004-11 ;RTID
1;NORDESTE;PI;QUEIMADA NOVA;SUMIDOURO;01420.000051/2004-95;CERTIFICADA;19/2004;04/06/2004;54380.001323/2004-54 ;
1;SUL;RS;RESTINGA SECA;RINCÃO DOS MARTINIANOS;01420.000036/2003-66;CERTIFICADA;19/2004;04/06/2004;54220.000258/2005-63;TITULAÇÃO PARCIAL
1;SUL;RS;MOSTARDAS;CASCA;01420.000598/2001-48;CERTIFICADA;19/2004;04/06/2004;54220.001202/2004-45;TITULAÇÃO PARCIAL
1;SUL;RS;GRAVATAÍ;MANOEL BARBOSA;01420.000146/2003-28;CERTIFICADA;19/2004;04/06/2004;54220.001830/2004-21;DECRETO NO DOU
1;NORDESTE;BA;BOM JESUS DA LAPA;ARAÇÁ, CARIACA, COXO, RETIRO, PATOS E PEDRA;01420.000274/1998-99;CERTIFICADA;19/2004;04/06/2004;54160.001788/2005-81;RTID
1;NORTE;PA;BAIÃO;FUGIDO RIO TUCUNARÉ;01420.000519/2003-61;CERTIFICADA;35/2004;10/12/2004;54100.016347/2009-11 ;
1;SUDESTE;MG;VIÇOSA;BUIEIÉ;01420.000385/2004-69;CERTIFICADA;35/2004;10/12/2004;54170.003746/2005-65;
1;SUDESTE;MG;JEQUITINHONHA;MUMBUCA;01420.000657/2004-21;CERTIFICADA;35/2004;10/12/2004;54170.003745/2005-11;RTID
1;CENTRO-OESTE;GO;SILVÂNIA;ALMEIDAS;01420.000522/2004-65;CERTIFICADA;23/2005;25/05/2005;54150.001540/2006-10 ;
1;CENTRO-OESTE;GO;CAVALCANTE | MONTE ALEGRE DE GOIÁS | TERESINA DE GOIÁS;KALUNGA;01420.000298/1998-11;CERTIFICADA;07/2005;19/04/2005;54700.000189/2004-12 ;TRD  - Despacho de 15/07/2000 - 18/07/2000
1;CENTRO-OESTE;MS;DOURADOS | ITAPORÃ;PICADINHA;01420.000491/2005-23;CERTIFICADA;7/2005;19/04/2005;54290.000373/2005-12 ;PORTARIA NO DOU
1;NORDESTE;RN;TIBAU DO SUL;SIBAÚMA;01420.000658/2004-75;CERTIFICADA;26/2005;08/06/2005;54330.000253/2005-93 ;LAUDO ANTROPOLÓGICO PRONTO, RESTA ALGUMAS PEÇAS
1;NORDESTE;BA;SENHOR DO BONFIM;LAGE E MAMOEIRO;01420.001067/2005-04;CERTIFICADA;28/2005;12/07/2005;54160.001826/2013-13;
1;NORDESTE;BA;SENHOR DO BONFIM | ANTÔNIO GONÇALVES | FILADÉLFIA;TIJUAÇU;01420.000048/1998-90;CERTIFICADA;28/2005;12/07/2005;54160.003083/2007-60;DECRETO NO DOU
1;CENTRO-OESTE;MS;CAMPO GRANDE;CHÁCARA DO BURITI;01420.001446/2005-96;CERTIFICADA;32/2005;19/08/2005;54290.000405/2004-91 ;TITULAÇÃO PARCIAL
1;NORTE;TO;ARRAIAS | PARANÃ;MIMOSO;01420.001226/2005-62;CERTIFICADA;37/2005;12/09/2005;54400001221/2005-34;DECRETO NO DOU
1;NORDESTE;SE;POÇO REDONDO;SERRA DA GUIA;01420.001322/2005-19;CERTIFICADA;32/2005;19/08/2005;54370.000549/2005-38 ;TITULAÇÃO PARCIAL
