Tp. Justiça;Cód. Estado;Cód. Unidade;Descrição da Unidade;Tipo da Unidade;Código;
;;;;;Estruturado;
8;3;0;Tribunal de Justiça - Estado do Amapá;Tribunal;8.03.000;
8;3;1;Macapá;Comarca;8.03.001;
8;3;2;Santana;Comarca;8.03.002;
8;3;3;Mazagão;Comarca;8.03.003;
8;3;4;Amapá;Comarca;8.03.004;
8;3;5;Tartarugalzinho;Comarca;8.03.005;
8;3;6;Ferreira Gomes;Comarca;8.03.006;
8;3;7;Calçoene;Comarca;8.03.007;
8;3;8;Laranjal do Jari;Comarca;8.03.008;
8;3;9;Oiapoque;Comarca;8.03.009;
8;3;10;Serra do Navio;Comarca;8.03.010;
8;3;11;Porto Grande;Comarca;8.03.011;
8;3;12;Vitória do Jari;Comarca;8.03.012;
