TIPO DE JUSTIÇA (estadual),Código do Estado ,Código da Unidade,Descrição da Unidade,Tipo
8,5,0,TRIBUNAL DE JUSTIÇA DO ESTADO DA BAHIA,Tribunal
8,5,1,SALVADOR,Foro de comarca
8,5,2,ABARÉ,Foro de comarca
8,5,3,ACAJUTIBA,Foro de comarca
8,5,4,ALAGOINHAS,Foro de comarca
8,5,5,ALCOBAÇA,Foro de comarca
8,5,6,AMARGOSA,Foro de comarca
8,5,7,AMÉLIA RODRIGUES,Foro de comarca
8,5,8,AMÉRICA DOURADA,Foro de comarca
8,5,9,ANAGÉ,Foro de comarca
8,5,10,ANDARAÍ,Foro de comarca
8,5,11,ANGICAL,Foro de comarca
8,5,12,ANTAS,Foro de comarca
8,5,13,APORÁ,Foro de comarca
8,5,14,ARACI,Foro de comarca
8,5,15,AURELINO LEAL,Foro de comarca
8,5,16,BAIANÓPOLIS,Foro de comarca
8,5,17,BAIXA GRANDE,Foro de comarca
8,5,18,BARRA,Foro de comarca
8,5,19,BARRA DA ESTIVA,Foro de comarca
8,5,20,BARRA DO CHOÇA,Foro de comarca
8,5,21,BARRA DO MENDES,Foro de comarca
8,5,22,BARREIRAS,Foro de comarca
8,5,23,BELMONTE,Foro de comarca
8,5,24,BELO CAMPO,Foro de comarca
8,5,25,BOA NOVA,Foro de comarca
8,5,26,BOA VISTA DO TUPIM,Foro de comarca
8,5,27,BOM JESUS DA LAPA,Foro de comarca
8,5,28,BOQUIRA,Foro de comarca
8,5,29,BOTUPORÃ,Foro de comarca
8,5,30,BREJÕES,Foro de comarca
8,5,31,BROTAS DE MACAÚBAS,Foro de comarca
8,5,32,BRUMADO,Foro de comarca
8,5,33,BUERAREMA,Foro de comarca
8,5,34,CACHOEIRA,Foro de comarca
8,5,35,CACULÉ,Foro de comarca
8,5,36,CAETITÉ,Foro de comarca
8,5,37,CALDEIRÃO GRANDE,Foro de comarca
8,5,38,CAMACÃ,Foro de comarca
8,5,39,CAMAÇARI,Foro de comarca
8,5,40,CAMAMU,Foro de comarca
8,5,41,CAMPO FORMOSO,Foro de comarca
8,5,42,CANARANA,Foro de comarca
8,5,43,CANAVIEIRAS,Foro de comarca
8,5,44,CANDEIAS,Foro de comarca
8,5,45,CÂNDIDO SALES,Foro de comarca
8,5,46,CANSANÇÃO,Foro de comarca
8,5,47,CANUDOS,Foro de comarca
8,5,48,CAPELA DO ALTO ALEGRE,Foro de comarca
8,5,49,CAPIM GROSSO,Foro de comarca
8,5,50,CARAVELAS,Foro de comarca
8,5,51,CARINHANHA,Foro de comarca
8,5,52,CASA NOVA,Foro de comarca
8,5,53,CASTRO ALVES,Foro de comarca
8,5,54,CATU,Foro de comarca
8,5,55,CENTRAL,Foro de comarca
8,5,56,CHORROCHÓ,Foro de comarca
8,5,57,CÍCERO DANTAS,Foro de comarca
8,5,58,CIPÓ,Foro de comarca
8,5,59,COARACI,Foro de comarca
8,5,60,CÔCOS,Foro de comarca
8,5,61,CONCEIÇÃO DA FEIRA,Foro de comarca
8,5,62,CONCEIÇÃO DO ALMEIDA,Foro de comarca
8,5,63,CONCEIÇÃO DO COITÉ,Foro de comarca
8,5,64,CONCEIÇÃO DO JACUÍPE,Foro de comarca
8,5,65,CONDE,Foro de comarca
8,5,66,CONDEÚBA,Foro de comarca
8,5,67,CORAÇÃO DE MARIA,Foro de comarca
8,5,68,CORIBE,Foro de comarca
8,5,69,CORRENTINA,Foro de comarca
8,5,70,COTEGIPE,Foro de comarca
8,5,71,CRISTÓPOLIS,Foro de comarca
8,5,72,CRUZ DAS ALMAS,Foro de comarca
8,5,73,CURAÇÁ,Foro de comarca
8,5,74,DIAS D'ÁVILA,Foro de comarca
8,5,75,ENCRUZILHADA,Foro de comarca
