id;processo;tribunal;natureza;distribuicao_data;numero;instancia;codigo_identificador;id
1;5084947-94.2017.8.13.0024;TJMG;"CIVEL DISSOLUCAO PARCIAL DE SOCIEDADE";2017-06-22;50849479420178130024;1;"[CÍVEL] DISSOLUÇÃO PARCIAL DE SOCIEDADE 5084947-94.2017.8.13.0024";420737346
2;0801522-36.2017.8.10.0048;TRF1;"7 - PROCEDIMENTO COMUM";2016-01-26;30307420164013700;1;"0003030-74.2016.4.01.3700 7 - Procedimento Comum 26/01/2016";364229694
3;7000780-22.2016.8.22.0016;TJRO;"PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL";2016-06-22;70007802220168220016;1;"PROCEDIMENTO DO JUIZADO ESPECIAL CÍVEL 7000780-22.2016.8.22.0016";428186426
4;1001489-52.2017.4.01.3700;TRF1;"PROCEDIMENTO COMUM CIVEL";2017-06-22;10014895220174013700;1;"PROCEDIMENTO COMUM CÍVEL 1001489-52.2017.4.01.3700";421204523
5;1000241-21.2017.4.01.3807;TJMG;"CIVEL CARTA PRECATORIA CIVEL";2020-11-26;50013836120208130624;1;"[CÍVEL] CARTA PRECATÓRIA CÍVEL 5001383-61.2020.8.13.0624";429388356
6;1014683-21.2017.8.26.0037;TJSP;"CUMPRIMENTO DE SENTENCA CONTRA A FAZENDA PUBLICA";2021-07-16;45543220218260037;1;"Cumprimento de Sentença contra a Fazenda Pública 0004554-32.2021.8.26.0037";454781681
7;1014683-21.2017.8.26.0037;TJSP;"CUMPRIMENTO DE SENTENCA";2021-07-07;43188020218260037;1;"Cumprimento de sentença 0004318-80.2021.8.26.0037";453886038
8;0820226-06.2017.8.14.0301;TJPA;"PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL";2023-05-15;8002576220238140020;1;"PROCEDIMENTO DO JUIZADO ESPECIAL CÍVEL 0800257-62.2023.8.14.0020";532524644
9;5008226-04.2017.8.13.0024;TRF1;"REINTEGRACAO MANUTENCAO DE POSSE";2018-09-13;71904420184013807;1;"REINTEGRAÇÃO / MANUTENÇÃO DE POSSE 0007190-44.2018.4.01.3807";442676070
10;1029358-78.2015.8.26.0224;TJSP;"AGRAVO DE INSTRUMENTO";;22722161920158260000;2;"Agravo de Instrumento 2272216-19.2015.8.26.0000";312591521
11;1029358-78.2015.8.26.0224;TJSP;"AGRAVO DE INSTRUMENTO";;20077006620188260000;2;"Agravo de Instrumento 2007700-66.2018.8.26.0000";312591223
12;1029358-78.2015.8.26.0224;TJSP;"AGRAVO DE INSTRUMENTO";2018-01-30;35905820188260000;2;"Agravo de Instrumento 0003590-58.2018.8.26.0000";312591513
13;1029358-78.2015.8.26.0224;TJSP;"MANDADO DE SEGURANCA";;22143277320168260000;2;"Mandado de Segurança 2214327-73.2016.8.26.0000";312591514
14;1029358-78.2015.8.26.0224;TJSP;"EMBARGOS DE TERCEIRO CIVEL";2016-02-29;10062091920168260224;1;"Embargos de Terceiro Cível 1006209-19.2016.8.26.0224";395185424
15;1029358-78.2015.8.26.0224;TJSP;"AGRAVO DE INSTRUMENTO";;22718585420158260000;2;"Agravo de Instrumento 2271858-54.2015.8.26.0000";312591515
16;1000492-39.2018.8.26.0294;TJSP;"EMBARGOS A EXECUCAO";2018-08-02;10011514820188260294;1;"Embargos à Execução 1001151-48.2018.8.26.0294";329534887
17;1001173-84.2018.4.01.3900;TRF1;"APELACAO CIVEL";2020-08-26;10011738420184013900;2;"APELAÇÃO CÍVEL 1001173-84.2018.4.01.3900";412739119
18;5002482-76.2018.4.04.7202;TRF4;"EMBARGOS A EXECUCAO";2019-06-20;50088982020194047204;1;"5008898-20.2019.4.04.7204 EMBARGOS À EXECUÇÃO";368920514
19;5002482-76.2018.4.04.7202;TRF4;"APELACAO CIVEL";2020-07-28;50088982020194047204;2;"5008898-20.2019.4.04.7204 Apelação Cível";413381103
20;0000540-06.2011.8.10.0100;TJMA;"PROCESSO CIVEL E DO TRABALHO PROCESSO DE CONHECIMENTO PROCEDIMENTO DE CONHECIMENTO PROCEDIMENTOS ESPECIAIS PROCEDIMENTOS ESPECIAIS DE JURISDICAO CONTENCIOSA REINTEGRACAO MANUTENCAO DE POSSE";2011-12-12;5400620118100100;1;"540-06.2011.8.10.0100 PROCESSO CÍVEL E DO TRABALHO | Processo de Conhecimento | Procedimento de Conhecimento | Procedimentos Especiais | Procedimentos Especiais de Jurisdição Contenciosa | Reintegração / Manutenção de Posse";318302869
21;0001617-23.2009.8.26.0699;TJSP;OPOSICAO;2016-11-30;10011005420168260699;1;"Oposição 1001100-54.2016.8.26.0699";360330240
22;0800318-34.2018.4.05.8312;STF;"RECURSO EXTRAORDINARIO COM AGRAVO";2021-12-16;8003183420184058312;4;"ARE 1364150";468396365
23;0800318-34.2018.4.05.8312;STJ;"AGRAVO EM RECURSO ESPECIAL";;8003183420184058312;3;2021/0322809-7;462088324
24;0800318-34.2018.4.05.8312;TRF5;"APELACAO CIVEL";2019-10-28;8003183420184058312;2;"APELAÇÃO CÍVEL 0800318-34.2018.4.05.8312";395615387
25;5124027-21.2018.8.09.0031;TJGO;;2018-03-19;51240272120188090031;1;5124027.21.2018.8.09.0031;331834044
26;1000389-10.2018.8.26.0172;TJSP;"CUMPRIMENTO DE SENTENCA";2022-12-02;7449520228260172;1;"Cumprimento de sentença 0000744-95.2022.8.26.0172";512420067
27;8000644-54.2017.8.05.0110;TJBA;"PROCEDIMENTO ORDINARIO";2017-05-20;80006445420178050110;1;"80006445420178050110 PROCEDIMENTO ORDINÁRIO";321635433
28;0002405-35.2005.4.03.6104;TRF3;"1740632 AP - SP";2013-04-24;24053520054036104;2;"0002405-35.2005.4.03.6104 1740632 Ap - SP";326441458
29;5028657-34.2018.4.04.7000;TRF3;"AI AG";2016-07-21;129116320164030000;2;"0012911-63.2016.4.03.0000 585258 AI (AG) - SP";459448438
30;5028658-19.2018.4.04.7000;TRF3;"AI AG";2016-07-21;129116320164030000;2;"0012911-63.2016.4.03.0000 585258 AI (AG) - SP";459448438
31;0020277-83.2018.8.13.0611;TJMG;"CIVEL ACAO CIVIL PUBLICA CIVEL";2022-07-20;202778320188130611;1;"[CÍVEL] AÇÃO CIVIL PÚBLICA CÍVEL 0020277-83.2018.8.13.0611";495621919
32;0015989-30.2009.4.03.6105;TRF3;"2000885 AP - SP";2014-12-15;159893020094036105;2;"0015989-30.2009.4.03.6105 2000885 Ap - SP";329279527
33;0015989-30.2009.4.03.6105;STJ;"RECURSO ESPECIAL";2021-01-07;159893020094036105;3;"REsp 1914144 SP";437118963
34;0015989-30.2009.4.03.6105;TRF3;"25 USUCAPIAO";2009-12-03;159893020094036105;1;"0015989-30.2009.4.03.6105 25 . USUCAPIAO";329279248
35;1001151-48.2018.8.26.0294;TJSP;"ACAO CIVIL PUBLICA";2018-04-09;10004923920188260294;1;"Ação Civil Pública 1000492-39.2018.8.26.0294";316541851
36;0801771-50.2018.8.10.0048;TJMA;"APELACAO CIVEL 198";2019-06-11;8017715020188100048;2;"APELAÇÃO CÍVEL 0801771-50.2018.8.10.0048";370181456
37;1003572-50.2018.8.26.0281;TJSP;"CUMPRIMENTO DE SENTENCA";2020-10-28;29407020208260281;1;"Cumprimento de sentença 0002940-70.2020.8.26.0281";426966612
38;5124027-21.2018.8.09.0031;TJGO;;2018-03-19;51240272120188090031;1;5124027.21.2018.8.09.0031;331834044
39;8001642-86.2018.8.05.0142;TJBA;"INTERDITO PROIBITORIO";2018-09-25;80016428620188050142;1;"INTERDITO PROIBITÓRIO 8001642-86.2018.8.05.0142";335006381
40;0843577-71.2018.8.14.0301;TJPA;"PROCEDIMENTO ORDINARIO CIVEL";2018-07-03;8435777120188140301;1;"PROCEDIMENTO ORDINÁRIO CÍVEL 0843577-71.2018.8.14.0301";335293722
41;0843577-71.2018.8.14.0301;TJPA;"ACAO CIVIL COLETIVA";2018-03-16;8248879120188140301;1;"AÇÃO CIVIL COLETIVA 0824887-91.2018.8.14.0301";436057614
42;0024637-57.2018.4.01.3900;TRF1;"1116 - EXECUCAO FISCAL";2018-10-03;246375720184013900;1;"0024637-57.2018.4.01.3900 1116 - Execução Fiscal 11/09/2018";335848766
43;0002194-23.2018.8.14.0051;TJPA;"REINTEGRACAO MANUTENCAO DE POSSE";2018-02-19;21942320188140051;1;"REINTEGRAÇÃO / MANUTENÇÃO DE POSSE 0002194-23.2018.8.14.0051";389182808
44;0002194-23.2018.8.14.0051;TJPA;"REINTEGRACAO MANUTENCAO DE POSSE";2018-02-19;21942320188140051;1;"0002194-23.2018.8.14.0051 Reintegração / Manutenção de Posse";337225962
45;1009619-07.2018.8.26.0292;STJ;PETICAO;2020-12-18;3427282820203000000;3;"Pet 13968 SP";433944601
46;1009619-07.2018.8.26.0292;TJSP;"APELACAO CIVEL";2020-02-17;10096190720188260292;2;"Apelação Cível 1009619-07.2018.8.26.0292";478436981
47;1009619-07.2018.8.26.0292;TJSP;"AGRAVO DE INSTRUMENTO";2019-05-14;21046345220198260000;2;"Agravo de Instrumento 2104634-52.2019.8.26.0000";434026573
48;1009619-07.2018.8.26.0292;STJ;"AGRAVO EM RECURSO ESPECIAL";;22627032220188260000;3;2020/0045036-3;397610214
49;1009619-07.2018.8.26.0292;STJ;"AGRAVO EM RECURSO ESPECIAL";;10096190720188260292;3;2021/0177607-4;451241883
50;1009619-07.2018.8.26.0292;TJSP;"CUMPRIMENTO PROVISORIO DE SENTENCA";2020-11-04;53454620208260292;1;"Cumprimento Provisório de Sentença 0005345-46.2020.8.26.0292";420101515
51;1009619-07.2018.8.26.0292;STJ;"AGRAVO EM RECURSO ESPECIAL";2021-06-25;10096190720188260292;3;"AREsp 1914015 SP";478439218
52;0866381-33.2018.8.14.0301;TJPA;"ACAO CIVIL COLETIVA";2018-10-31;8663813320188140301;1;"AÇÃO CIVIL COLETIVA 0866381-33.2018.8.14.0301";339954173
53;0866381-33.2018.8.14.0301;TJPA;"AGRAVO DE INSTRUMENTO";2022-03-02;8087716920208140000;2;"AGRAVO DE INSTRUMENTO 0808771-69.2020.8.14.0000";442465743
54;7013027-91.2018.8.22.0007;TJRO;"APELACAO CIVEL";2019-08-28;70130279120188220007;2;"APELAÇÃO CÍVEL 7013027-91.2018.8.22.0007";478124435
55;1004630-09.2018.8.26.0663;TJSP;"AGRAVO DE INSTRUMENTO";2019-06-13;21307059120198260000;2;"Agravo de Instrumento 2130705-91.2019.8.26.0000";368304550
56;1007949-21.2018.4.01.3700;TRF1;"APELACAO CIVEL";2020-11-16;10079492120184013700;2;"APELAÇÃO CÍVEL 1007949-21.2018.4.01.3700";426395182
57;0879052-88.2018.8.14.0301;TJPA;"PROCESSO ADMINISTRATIVO";2022-05-30;8472729120228140301;1;"PROCESSO ADMINISTRATIVO 0847272-91.2022.8.14.0301";488934998
58;0700058-22.2017.8.02.0070;TJAL;INTERPELACAO;2017-03-08;7001445920178020048;1;"Interpelação 0700144-59.2017.8.02.0048";345687213
59;0000567-45.2012.4.02.5003;TRF2;"AGRAVO DE INSTRUMENTO";2022-02-08;50013272820224020000;2;"5001327-28.2022.4.02.0000 Agravo de Instrumento";473006335
60;0700144-59.2017.8.02.0048;TJAL;"PROCEDIMENTO ORDINARIO";2017-03-13;7000582220178020070;1;"Procedimento Ordinário 0700058-22.2017.8.02.0070";345007234
61;0145315-64.2017.4.02.5111;TRF2;"AGRAVO DE INSTRUMENTO";2021-10-20;50150140920214020000;2;"5015014-09.2021.4.02.0000 Agravo de Instrumento";463099371
62;0021678-58.2007.4.02.5101;TRF2;"APELACAO CIVEL";2021-07-01;216785820074025101;2;"0021678-58.2007.4.02.5101 Apelação Cível";453383691
63;0021678-58.2007.4.02.5101;TRF2;"CUMPRIMENTO DE SENTENCA";2020-04-27;5070574220204025101;1;"0507057-42.2020.4.02.5101 CUMPRIMENTO DE SENTENÇA";415724905
64;0021678-58.2007.4.02.5101;TRF2;"REINTEGRACAO MANUTENCAO DE POSSE - PROCEDIMENTOS ESPECIAIS DE JURISDICAO CONTENCIOSA - PROCEDIMENTOS ESPECIAIS - PROCEDIMENTO DE CONHECIMENTO - PROCESSO DE CONHECIMENTO - PROCESSO CIVEL E DO TRABALHO";2009-05-25;115406120094025101;1;"0011540-61.2009.4.02.5101 Reintegração / Manutenção de Posse - Procedimentos Especiais de Jurisdição Contenciosa - Procedimentos Especiais - Procedimento de Conhecimento - Processo de Conhecimento - Processo Cível e do Trabalho";453488666
